name_ko,region,type,official_code,name_en,homepage_url,email_domain,address
조선대학교,광주,사립,,,,,
한밭대학교,대전,국립,,,,,
단국대학교,경기,사립,,,,,
성균관대학교,경기,사립,,,,,
영남대학교,경북,사립,,,,,
세종대학교,서울,사립,,,,,
호서대학교,충남,사립,,,,,
경상국립대학교,경남,국립,,,,,
광주대학교,광주,사립,,,,,
전주대학교,전북,사립,,,,,
동아대학교,부산,사립,,,,,
서울대학교,서울,국립대법인,,,,,
창원대학교,경남,국립,,,,,
경남대학교,경남,사립,,,,,
숭실대학교,서울,사립,,,,,
한남대학교,대전,사립,,,,,
한경국립대학교,경기,국립,,,,,
강원대학교,강원,국립,,,,,
전북대학교,전북,국립,,,,,
건국대학교,서울,사립,,,,,
서울과학기술대학교,서울,국립,,,,,
제주대학교,제주,국립,,,,,
전남대학교,광주,국립,,,,,
한국해양대학교,부산,국립,,,,,
안동대학교,경북,국립,,,,,
우석대학교,전북,사립,,,,,
대구한의대학교,경북,사립,,,,,
서울시립대학교,서울,공립,,,,,
한국기술교육대학교,충남,사립,,,,,
부경대학교,부산,국립,,,,,
고려대학교,서울,사립,,,,,
강남대학교,경기,사립,,,,,
목원대학교,대전,사립,,,,,
충북대학교,충북,국립,,,,,
한양대학교(ERICA),경기,사립,,,,,
연세대학교,서울,사립,,,,,
유원대학교,충북,사립,,,,,
광운대학교,서울,사립,,,,,
수원대학교,경기,사립,,,,,
동국대학교,서울,사립,,,,,
군산대학교,전북,국립,,,,,
경성대학교,부산,사립,,,,,
고려대학교(세종),세종,사립,,,,,
공주대학교,충남,국립,,,,,
중앙대학교,서울,사립,,,,,
경북대학교,대구,국립,,,,,
가톨릭대학교,경기,사립,,,,,
가천대학교,경기,사립,,,,,
대진대학교,경기,사립,,,,,
한라대학교,강원,사립,,,,,
한성대학교,서울,사립,,,,,
제주국제대학교,제주,사립,,,,,
정석대학,서울,사립,,,,,
서경대학교,서울,사립,,,,,
금오공과대학교,경북,국립,,,,,
순천대학교,전남,국립,,,,,
동서대학교,부산,사립,,,,,
호원대학교,전북,사립,,,,,
한국공학대학교,경기,사립,,,,,
충남대학교,대전,국립,,,,,
세종사이버대학교,서울,사립,,,,,
인하대학교,인천,사립,,,,,
배재대학교,대전,사립,,,,,
명지대학교,경기,사립,,,,,
동양대학교,경북,사립,,,,,
동의대학교,부산,사립,,,,,
청주대학교,충북,사립,,,,,
가톨릭관동대학교,강원,사립,,,,,
동신대학교,전남,사립,,,,,
순천향대학교,충남,사립,,,,,
한서대학교,충남,사립,,,,,
국민대학교,서울,사립,,,,,
선문대학교,충남,사립,,,,,
부산대학교,부산,국립,,,,,
대구대학교,경북,사립,,,,,
신라대학교,부산,사립,,,,,
우송대학교,대전,사립,,,,,
우석대학교,충북,사립,,,,,
목포해양대학교,전남,국립,,,,,
울산대학교,울산,사립,,,,,
영산대학교,경남,사립,,,,,
부산가톨릭대학교,부산,사립,,,,,
인제대학교,경남,사립,,,,,
한세대학교,경기,사립,,,,,
성균관대학교,서울,사립,,,,,
목포대학교,전남,국립,,,,,
동국대학교(WISE),경북,사립,,,,,
전남대학교,전남,국립,,,,,
경희대학교,경기,사립,,,,,
한양대학교,서울,사립,,,,,
울산과학기술원(UNIST),울산,특별법법인,,,,,
홍익대학교,서울,사립,,,,,
원광대학교,전북,사립,,,,,
송원대학교,광주,사립,,,,,
강릉원주대학교,강원,국립,,,,,
한국교원대학교,충북,국립,,,,,
경동대학교,강원,사립,,,,,
포항공과대학교(POSTECH),경북,사립,,,,,
세명대학교,충북,사립,,,,,
경기대학교,경기,사립,,,,,
한국국제대학교,경남,사립,,,,,
한신대학교,경기,사립,,,,,
동명대학교,부산,사립,,,,,
대전대학교,대전,사립,,,,,
서강대학교,서울,사립,,,,,
경남과학기술대학교,경남,국립,,,,,
부산대학교,경남,국립,,,,,
평택대학교,경기,사립,,,,,
부산교육대학교,부산,국립,,,,,
전주교육대학교,전북,국립,,,,,
중원대학교,충북,사립,,,,,
상지대학교,강원,사립,,,,,
동덕여자대학교,서울,사립,,,,,
삼육대학교,서울,사립,,,,,
이화여자대학교,서울,사립,,,,,
경일대학교,경북,사립,,,,,
초당대학교,전남,사립,,,,,
연세대학교(미래),강원,사립,,,,,
경희대학교,서울,사립,,,,,
협성대학교,경기,사립,,,,,
안양대학교,경기,사립,,,,,
카이스트(KAIST/한국과학기술원),대전,특별법법인,,,,,
대구가톨릭대학교,경북,사립,,,,,
성공회대학교,서울,사립,,,,,
부산외국어대학교,부산,사립,,,,,
한국방송통신대학교,서울,국립,,,,,
성결대학교,경기,사립,,,,,
동국대학교,경기,사립,,,,,
화성의과학대학교,경기,사립,,,,,
한국항공대학교,경기,사립,,,,,
나사렛대학교,충남,사립,,,,,
한국예술종합학교,서울,특별법국립,,,,,
서울여자대학교,서울,사립,,,,,
한동대학교,경북,사립,,,,,
예원예술대학교,전북,사립,,,,,
경주대학교,경북,사립,,,,,
용인대학교,경기,사립,,,,,
대구예술대학교,경북,사립,,,,,
계명대학교,대구,사립,,,,,
성신여자대학교,서울,사립,,,,,
한양사이버대학교,서울,사립,,,,,
상명대학교,서울,사립,,,,,
진주교육대학교,경남,국립,,,,,
서원대학교,충북,사립,,,,,
명지대학교,서울,사립,,,,,
고려사이버대학교,서울,사립,,,,,
광주교육대학교,광주,국립,,,,,
백석대학교,충남,사립,,,,,
숙명여자대학교,서울,사립,,,,,
광주여자대학교,광주,사립,,,,,
한국열린사이버대학교,서울,사립,,,,,
덕성여자대학교,서울,사립,,,,,
인천가톨릭대학교,인천,사립,,,,,
총신대학교,서울,사립,,,,,
원광디지털대학교,전북,사립,,,,,
대신대학교,경북,사립,,,,,
디지털서울문화예술대학교,서울,사립,,,,,
서울디지털대학교,서울,사립,,,,,
경기대학교,서울,사립,,,,,
한국체육대학교,서울,국립,,,,,
남부대학교,광주,사립,,,,,
강서대학교,서울,사립,,,,,
장로회신학대학교,서울,사립,,,,,
한국침례신학대학교,대전,사립,,,,,
을지대학교,경기,사립,,,,,
서울신학대학교,경기,사립,,,,,
광신대학교,광주,사립,,,,,
한일장신대학교,전북,사립,,,,,
서울장신대학교,경기,사립,,,,,
호남대학교,광주,사립,,,,,
글로벌사이버대학교,충남,사립,,,,,
남서울대학교,충남,사립,,,,,
호남신학대학교,광주,사립,,,,,
건양대학교,대전,사립,,,,,
가톨릭대학교,서울,사립,,,,,
대구사이버대학교,경북,사립,,,,,
한국성서대학교,서울,사립,,,,,
을지대학교,대전,사립,,,,,
한림대학교,강원,사립,,,,,
차의과학대학교,경기,사립,,,,,
가천대학교,인천,사립,,,,,
목포가톨릭대학교,전남,사립,,,,,
예수대학교,전북,사립,,,,,
고신대학교,부산,사립,,,,,
인제대학교,부산,사립,,,,,
대구가톨릭대학교,대구,사립,,,,,
루터대학교,경기,사립,,,,,
영남대학교,대구,사립,,,,,
가톨릭꽃동네대학교,충북,사립,,,,,
대구대학교,대구,사립,,,,,
서울한영대학교,서울,사립,,,,,
사이버한국외국어대학교,서울,사립,,,,,
추계예술대학교,서울,사립,,,,,
중부대학교,충남,사립,,,,,
부산디지털대학교,부산,사립,,,,,
한국외국어대학교,서울,사립,,,,,
화신사이버대학교,부산,사립,,,,,
영산대학교,부산,사립,,,,,
건양대학교,충남,사립,,,,,
서울교육대학교,서울,국립,,,,,
공주교육대학교,충남,국립,,,,,
춘천교육대학교,강원,국립,,,,,
대구교육대학교,대구,국립,,,,,
청운대학교,충남,사립,,,,,
금강대학교,충남,사립,,,,,
아신대학교,경기,사립,,,,,
수원가톨릭대학교,경기,사립,,,,,
영남신학대학교,경북,사립,,,,,
청주교육대학교,충북,국립,,,,,
한국교통대학교,충북,국립,,,,,
순복음총회신학교,충북,사립,,,,,
김천대학교,경북,사립,,,,,
부산장신대학교,경남,사립,,,,,
중앙승가대학교,경기,사립,,,,,
경인교육대학교,경기,국립,,,,,
대전가톨릭대학교,세종,사립,,,,,
영산선학대학교,전남,사립,,,,,
칼빈대학교,경기,사립,,,,,
경인교육대학교,인천,국립,,,,,
서울기독대학교,서울,사립,,,,,
감리교신학대학교,서울,사립,,,,,
아주대학교,경기,사립,,,,,
대전신학대학교,대전,사립,,,,,
광주가톨릭대학교,전남,사립,,,,,
광주과학기술원(GIST),광주,특별법법인,,,,,
한국폴리텍 VII 대학 창원캠퍼스,경남,사립,,,,,
세한대학교,충남,사립,,,,,
한국산업기술대학교(산업대),경기,사립,,,,,
세한대학교,전남,사립,,,,,
한국폴리텍 I 대학 성남캠퍼스,경기,사립,,,,,
한국폴리텍 II 대학 인천캠퍼스,인천,사립,,,,,
한국폴리텍 VI 대학 대구캠퍼스,대구,사립,,,,,
중앙대학교,경기,사립,,,,,
한국폴리텍 IV 대학 아산캠퍼스,충남,사립,,,,,
한국폴리텍 VII 대학 울산캠퍼스,울산,사립,,,,,
한밭대학교(산업대),대전,국립,,,,,
한국폴리텍 I 대학 서울정수캠퍼스,서울,사립,,,,,
한국폴리텍 V 대학 전북캠퍼스,전북,사립,,,,,
한국폴리텍 특성화대학 항공캠퍼스,경남,사립,,,,,
건국대학교(글로컬),충북,사립,,,,,
한국폴리텍 IV 대학 대전캠퍼스,대전,사립,,,,,
한국폴리텍 IV 대학 청주캠퍼스,충북,사립,,,,,
한국폴리텍 VII 대학 부산캠퍼스,부산,사립,,,,,
한국폴리텍 V 대학 광주캠퍼스,광주,사립,,,,,
한국폴리텍 VI 대학 구미캠퍼스,경북,사립,,,,,
한국폴리텍 VI 대학 영남융합기술캠퍼스,대구,사립,,,,,
한국폴리텍 V 대학 전남캠퍼스,전남,사립,,,,,
한국폴리텍 III 대학 춘천캠퍼스,강원,사립,,,,,
한국폴리텍 IV 대학 홍성캠퍼스,충남,사립,,,,,
한국폴리텍 I 대학 서울강서캠퍼스,서울,사립,,,,,
한국폴리텍 특성화대학 반도체융합캠퍼스,경기,사립,,,,,
숭실사이버대학교,서울,사립,,,,,
한국폴리텍 III 대학 강릉캠퍼스,강원,사립,,,,,
경북대학교,경북,국립,,,,,
위덕대학교,경북,사립,,,,,
안양대학교,인천,사립,,,,,
인천대학교,인천,국립대법인,,,,,
건양사이버대학교,대전,사립,,,,,
한국폴리텍 특성화대학 바이오캠퍼스,충남,사립,,,,,
신한대학교,경기,사립,,,,,
단국대학교,충남,사립,,,,,
한국폴리텍 VI 대학 영주캠퍼스,경북,사립,,,,,
한국외국어대학교,경기,사립,,,,,
유원대학교,충남,사립,,,,,
경동대학교,경기,사립,,,,,
가야대학교(고령),경북,사립,,,,,
가야대학교(김해),경남,사립,,,,,
청운대학교,인천,사립,,,,,
예원예술대학교,경기,사립,,,,,
대구경북과학기술원(DGIST),대구,특별법법인,,,,,
경운대학교,경북,사립,,,,,
국제사이버대학교,경기,사립,,,,,
동양대학교,경기,사립,,,,,
한국폴리텍 V 대학 익산캠퍼스,전북,사립,,,,,
경희사이버대학교,서울,사립,,,,,
한국폴리텍 III 대학 원주캠퍼스,강원,사립,,,,,
한국교통대학교,경기,국립,,,,,
한국폴리텍 I 대학 제주캠퍼스,제주,사립,,,,,
서울사이버대학교,서울,사립,,,,,
극동대학교,충북,사립,,,,,
홍익대학교,세종,사립,,,,,
상명대학교,충남,사립,,,,,
한국폴리텍 V 대학 순천캠퍼스,전남,사립,,,,,
중부대학교,경기,사립,,,,,
ICT폴리텍대학,경기,사립,,,,,
창신대학교,경남,사립,,,,,
한국전통문화대학교,충남,특별법국립,,,,,
한국폴리텍 II 대학 남인천캠퍼스,인천,사립,,,,,
한국폴리텍 II 대학 화성캠퍼스,경기,사립,,,,,
한국폴리텍 특성화대학 로봇캠퍼스,경북,사립,,,,,
한국폴리텍 VII 대학 진주캠퍼스,경남,사립,,,,,
한국에너지공과대학교,전남,특별법법인,,,,,
한국폴리텍 VII 대학 동부산캠퍼스,부산,사립,,,,,
